_RAJ2000	_DEJ2000	_V	TYC1	TYC2	TYC3	RAJ2000	DEJ2000	VTmag	BTmag	r_SpType	Dist	Teff	SpType	recno
208.9713296600	-09.7552854900	VizieR	5553	1503	1	208.97132966	-09.75528549	6.900	7.410	mc5	0.115	6440	F6/7 V	197271
208.9498170000	-09.5599130300	VizieR	5553	1591	1	208.94981700	-09.55991303	6.865	8.763	mc5	0.181	3950	K5 III	197272
210.9906026900	-09.7450876000	VizieR	5554	698	1	210.99060269	-09.74508760	7.374	8.523	mc5	0.214	4750	K0 III	197288
210.7508397000	-09.5093989700	VizieR	5554	799	1	210.75083970	-09.50939897	8.754	9.207	mc5	0.308	6890	F2 V	197289
210.4096356200	-09.9401094400	VizieR	5554	843	1	210.40963562	-09.94010944	8.697	9.135	mc5	0.070	6440	Fm delta DEL	197290
211.1086237900	-09.7879590700	VizieR	5554	1041	1	211.10862379	-09.78795907	9.925	10.418	mc5	0.325	6030	G1 V	197294
209.9960503900	-09.3162058300	VizieR	5554	1213	1	209.99605039	-09.31620583	9.703	11.071	mc5	0.176	4750	K0/1 III	197297
209.9306625300	-09.6441613200	VizieR	5554	1309	1	209.93066253	-09.64416132	9.359	10.653	mc5	0.200	4750	K0 III	197298
209.7281880000	-09.3907440800	VizieR	5554	1341	1	209.72818800	-09.39074408	9.925	10.624	mc5	0.131	6440	F6 V	197299
209.6711396300	-09.2091258800	VizieR	5554	1487	1	209.67113963	-09.20912588	9.834	11.584	mc5	0.136	4420	K2 III	197304
210.2954438400	-09.2541663900	VizieR	5554	1654	1	210.29544384	-09.25416639	9.740	10.376	mc5	0.780	5860	G3 V	197310
209.5527525000	-09.0527592600	VizieR	5554	1661	1	209.55275250	-09.05275926	9.186	9.804	mc5	0.162	6030	G1/2 V	197311
208.7969770300	-12.4489774300	VizieR	5556	15	1	208.79697703	-12.44897743	8.250	10.092	mc5	0.138	3950	K5 III	197374
207.8923770000	-12.3897130400	VizieR	5556	25	1	207.89237700	-12.38971304	9.169	9.739	mc5	0.533	6440	F7 V	197375
208.4360717900	-12.3145266900	VizieR	5556	82	1	208.43607179	-12.31452669	9.137	9.638	mc5	0.357	6890	F2/3 V	197376
207.1305441700	-11.3065416000	VizieR	5556	154	1	207.13054417	-11.30654160	8.588	9.225	mc5	0.185	6440	F5 V	197377
207.7044885500	-11.3587818700	VizieR	5556	170	1	207.70448855	-11.35878187	7.944	9.931	mc5	0.055	3720	M1 III	197378
206.9779176600	-10.7900489500	VizieR	5556	177	1	206.97791766	-10.79004895	9.926	10.671	mc5	0.124	5860	G2 V	197379
208.0379904900	-10.9390546300	VizieR	5556	212	1	208.03799049	-10.93905463	9.958	10.389	mc5	0.075	6890	F3 V	197380
207.6327370200	-10.7840749200	VizieR	5556	253	1	207.63273702	-10.78407492	9.307	10.566	mc5	0.125	4900	G8 IV	197381
207.8341804000	-10.3799517000	VizieR	5556	256	1	207.83418040	-10.37995170	10.140	10.762	ppS	0.703	6200	F8	197382
208.5704326400	-10.8916232500	VizieR	5556	476	1	208.57043264	-10.89162325	9.851	11.160	mc5	0.020	4600	K1/2 III	197383
208.2240304500	-10.6825973200	VizieR	5556	519	1	208.22403045	-10.68259732	7.793	9.013	mc5	0.474	4750	K0 III/IV	197384
207.4482727900	-11.0129118700	VizieR	5556	565	1	207.44827279	-11.01291187	9.719	10.572	mc5	1.638	5250	K0 V	197385
208.2031723400	-11.8464602500	VizieR	5556	580	1	208.20317234	-11.84646025	10.446	11.494	mc5	1.263	4900	G8 IV	197386
207.8303289600	-11.7798319900	VizieR	5556	699	1	207.83032896	-11.77983199	9.411	9.751	mc5	0.112	7850	A9 V	197387
