KIC
---------
1718958
2142522
2307415
2309719
2443393
2444412
2571238
2581316
2692377
2697935
2985767
2989404
3098810
3102384
3109550
3114811
3240159
3328080
3425851
3531558
3544595
3545135
3545478
3632418
3640905
3642289
3969687
4043190
4044005
4049901
4055765
4059887
4141376
4143755
4147444
4150804
4255422
4262040
4276716
4278221
4349452
4450844
4548011
4548098
4735826
4770174
4815520
4914423
4914566
5039228
5042210
5088536
5094751
5124667
5308537
5350244
5383248
5384079
5450893
5511081
5513648
5514383
5561278
5612697
5652983
5695396
5780885
5812701
5819801
5866724
5905822
5963582
5966322
5985713
6021275
6026924
6029239
6048024
6063220
6153407
6196457
6197215
6198182
6268648
6278762
6289257
6291837
6356692
6364582
6448890
6462863
6470149
6521045
6528464
6616218
6678383
6837283
6850504
6922710
6975129
7017274
7050060
7050989
7100673
7106173
7137213
7175184
7199397
7202957
7215603
7269493
7273277
7295235
7296438
7364176
7375348
7419318
7449136
7515336
7582689
7670943
7672940
7679812
7700622
7746958
7749773
7761918
7778427
7887791
7891294
7902003
7905106
7941200
7983117
8008067
8013439
8073705
8077137
8094120
8156120
8176564
8212002
8219268
8240797
8264402
8292840
8345384
8349582
8395660
8396660
8456679
8478994
8494142
8505215
8552719
8554498
8581240
8626325
8684730
8686097
8700771
8711794
8751796
8753657
8803882
8806985
8822366
8848288
8866102
8873090
9002538
9006186
9015738
9022166
9070666
9072639
9086251
9109857
9283156
9304101
9414417
9450647
9451706
9457728
9467404
9471974
9473078
9491832
9549648
9579208
9579641
9592705
9602613
9693006
9696358
9697131
9716028
9717943
9718066
9836563
9836959
9872292
9881662
9886361
9898447
9899181
9936080
9955598
10019399
10026544
10028352
10057494
10063208
10130039
10136549
10155029
10187017
10264660
10289119
10329196
10363115
10384298
10386922
10387742
10399321
10453588
10471515
10514430
10528068
10531955
10586004
10593626
10617017
10666592
10794087
10795103
10857519
10864656
10875245
10905911
10917433
10933561
10963065
10984090
11019987
11027624
11075737
11081504
11086270
11098013
11127479
11133306
11189311
11250587
11259686
11290515
11295426
11336883
11337566
11342416
11401755
11446443
11460462
11547513
11600889
11623629
11656246
11758544
11760860
11802615
11807274
11811193
11853905
11904151
11905011
11969988
12004971
12016267
12024120
12068975
12159249
12301181
12314973
12403119
12416661
12454461
12456063
12735740
12785320
